Term Code,Term Desc,Subj Code,Crse Numb,Seq Numb,Course,Crn,Course Title,Course Title - Xlst,Ptrm Start Date,Ptrm End Date,Coll Code,Coll Desc,Dept Code,Dept Desc,Camp Code,Camp Desc,Ssts Code,Credit Hrs,Sess Desc,Schd Code,Schd Desc,Bldg Code,Room Code,Begin Time,End Time,Day,CRN Count,Unique CRN,Seats Avail,Max Enrl,Enrl,Primary Instructor,Instructor,Primary Instr Fctg Desc,All Instructors
201515,Fall Quarter 15-16,GMAP,260,006,GMAP 260 006,16968,Overview of Computer Gaming,Overview of Computer Gaming,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,1500,1750,M,649,1,0,17,17,"Day, Timothy (Primary Instr)","Day, Timothy",Teaching Assistant,"Day, Timothy"
201515,Fall Quarter 15-16,GMAP,377,001,GMAP 377 001,12326,Game Development: Workshop I,Game Development: Workshop I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,1230,1520,R,649,1,0,12,12,"Lloyd, Robert (Primary Instr)","Lloyd, Robert",Adjunct Instructor,"Lloyd, Robert"
201515,Fall Quarter 15-16,GMAP,377,002,GMAP 377 002,12926,Game Development: Workshop I,Game Development: Workshop I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,0900,1150,R,649,1,0,12,12,"Lloyd, Robert (Primary Instr)","Lloyd, Robert",Adjunct Instructor,"Lloyd, Robert"
201515,Fall Quarter 15-16,GMAP,377,003,GMAP 377 003,15546,Game Development: Workshop I,Game Development: Workshop I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,1200,1450,M,649,1,0,14,14,"Rowe, Tony (Primary Instr)","Rowe, Tony",,"Rowe, Tony"
201515,Fall Quarter 15-16,GMAP,421,001,GMAP 421 001,14194,Advanced Game Design and Prod.,Advanced Game Design and Prod.,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,1230,1520,T,649,1,3,15,12,"Nash, Adam (Primary Instr)","Nash, Adam",,"Nash, Adam"
201515,Fall Quarter 15-16,GMAP,421,002,GMAP 421 002,14330,Advanced Game Design and Prod.,Advanced Game Design and Prod.,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,1200,1450,W,649,1,5,15,10,"Nash, Adam (Primary Instr)","Nash, Adam",,"Nash, Adam"
201515,Fall Quarter 15-16,GMAP,T480,001,GMAP T480 001,16423,ST: Games for Health,"ST: Games for Health
(Meets with DIGM T680/001 & RHAB 816/001)",09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,1,Special Topics-Lecture,URBN,239,1500,1750,M,649,1,2,10,8,"Diefenbach, Paul (Primary Instr)","Diefenbach, Paul",Assistant Professor,"Diefenbach, Paul"
201515,Fall Quarter 15-16,IDM,100,001,IDM 100 001,16064,Intro to Web Dev,Intro to Web Dev,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,L,Lecture,URBN,250,1800,2050,W,649,1,0,17,17,"Sinatra, Philip (Primary Instr)","Sinatra, Philip",Adjunct Instructor,"Sinatra, Philip"
201515,Fall Quarter 15-16,WBDV,216,001,WBDV 216 001,16085,History of Web Development,History of Web Development,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,349,0900,1150,M,649,1,0,21,21,"Finamore, Troy (Primary Instr)","Finamore, Troy",Adjunct Instructor,"Finamore, Troy"
201515,Fall Quarter 15-16,WBDV,240,001,WBDV 240 001,12327,Web Authoring I,Web Authoring I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,L,Lecture,URBN,252,1830,2120,T,649,1,0,17,17,"Sinatra, Philip (Primary Instr)","Sinatra, Philip",Adjunct Instructor,"Sinatra, Philip"
